City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,2.2,73,60,15.73,TF,1694551933
1,glace bay,46.1969,-59.957,21.61,96,100,3.09,CA,1694551934
2,port alfred,-33.5906,26.891,10.66,83,89,0.89,ZA,1694551934
3,edinburgh of the seven seas,-37.0676,-12.3116,12.09,73,20,12.32,SH,1694551935
4,surman,32.7567,12.5716,26.57,49,0,6.62,LY,1694551935
5,tipasa,36.5897,2.4475,24.36,78,100,2.54,DZ,1694551936
6,kastsyukowka,52.5387,30.9173,14.0,82,0,3.0,BY,1694551937
7,saipan,15.1355,145.701,27.39,94,0,3.09,MP,1694551937
8,kavaratti,10.5669,72.642,27.78,79,100,5.93,IN,1694551938
9,bikenibeu village,1.3673,173.1241,26.98,89,75,1.03,KI,1694551938
10,adamstown,-25.066,-130.1015,18.39,66,100,10.54,PN,1694551939
11,kudahuvadhoo,2.6708,72.8944,27.74,79,36,4.47,MV,1694551939
12,stanley,54.868,-1.6985,11.54,89,20,2.57,GB,1694551734
13,tadmur,34.5608,38.2805,26.63,33,0,1.58,SY,1694551940
14,waitangi,-43.9535,-176.5597,13.23,77,1,2.24,NZ,1694551941
15,villa gesell,-37.2639,-56.973,12.81,71,98,6.33,AR,1694551941
16,mishelevka,52.8575,103.1719,8.35,74,100,1.63,RU,1694551942
17,blackmans bay,-43.0167,147.3167,9.07,90,100,3.03,AU,1694551942
18,thompson,55.7435,-97.8558,18.09,45,20,5.14,CA,1694551943
19,longyearbyen,78.2186,15.6401,0.91,93,75,1.54,SJ,1694551943
20,isafjordur,66.0755,-23.124,8.02,81,100,1.54,IS,1694551943
21,urengoy,65.9667,78.3667,6.17,74,97,0.89,RU,1694551944
22,iqaluit,63.7506,-68.5145,6.85,81,100,7.2,CA,1694551945
23,petropavlovsk-kamchatsky,53.0452,158.6483,9.33,100,100,2.0,RU,1694551945
24,ushuaia,-54.8,-68.3,6.81,57,40,6.69,AR,1694551365
25,humberto de campos,-2.5983,-43.4611,27.05,67,0,3.8,BR,1694551946
26,sassandra,4.95,-6.0833,23.82,94,65,3.04,CI,1694551947
27,santa ana,33.7456,-117.8678,34.97,62,20,5.66,US,1694551357
28,hermanus,-34.4187,19.2345,9.89,78,53,3.86,ZA,1694551947
29,bredasdorp,-34.5322,20.0403,7.34,83,80,1.0,ZA,1694551948
30,chonchi,-42.6128,-73.8092,11.73,78,100,2.44,CL,1694551651
31,utrik,11.2278,169.8474,28.03,78,100,7.13,MH,1694551949
32,badger,64.8,-147.5333,11.74,79,100,1.54,US,1694551949
33,haiku-pauwela,20.9219,-156.3051,28.01,55,20,7.72,US,1694551950
34,as sulayyil,20.4607,45.5779,34.14,15,35,2.32,SA,1694551950
35,vilyuchinsk,52.9306,158.4028,10.15,95,100,0.91,RU,1694551951
36,wailua homesteads,22.0669,-159.378,28.24,70,100,5.66,US,1694551951
